date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:52	4714/4714	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:40%20GMT	https://b.btcminners.com/styles/assets/images/bg-cal.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/bg-cal.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:54	126962/126962	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:34%20GMT	https://b.btcminners.com/styles/assets/images/about-img.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/about-img.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:55	7321/7321	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:50%20GMT	https://b.btcminners.com/styles/assets/images/call-img.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/call-img.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:56	3139/3139	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:22%20GMT	https://b.btcminners.com/styles/assets/images/call-img1.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/call-img1.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:58	33934/33934	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:24%20GMT	https://b.btcminners.com/styles/assets/images/ctn-icon2.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-icon2.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:45:59	5280/5280	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:56%20GMT	https://b.btcminners.com/styles/assets/images/ctn-tf1.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-tf1.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:00	5492/5492	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:24%20GMT	https://b.btcminners.com/styles/assets/images/ctn-tf2.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-tf2.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:01	4397/4397	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:42%20GMT	https://b.btcminners.com/styles/assets/images/ctn-tf3.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-tf3.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:02	4907/4907	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:48%20GMT	https://b.btcminners.com/styles/assets/images/ctn-tf4.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-tf4.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:03	4952/4952	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:50%20GMT	https://b.btcminners.com/styles/assets/images/ctn-tf5.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-tf5.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:04	5636/5636	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:56%20GMT	https://b.btcminners.com/styles/assets/images/ctn-tf6.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/ctn-tf6.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:08	119559/119559	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Sep%202018%2011:15:40%20GMT	https://b.btcminners.com/styles/assets/images/bg1.jpg	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/bg1.jpg	(from https://b.btcminners.com/styles/assets/custom_back.css)
00:46:09	9868/9868	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Sep%202018%2011:15:34%20GMT	https://b.btcminners.com/styles/assets/images/call-ic1.png	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/images/call-ic1.png	(from https://b.btcminners.com/styles/assets/custom_back.css)
